series,frame,time_s,value
current,101,15.020000000000024,1187504339908581400
current,102,15.170000000000025,1189713538590311700
current,103,15.320000000000025,1191485137723765500
current,104,15.470000000000026,1192819937798702300
current,105,15.620000000000026,1193719060124846800
current,106,15.770000000000026,1194183942989960200
current,107,15.920000000000027,1194216337618901800
current,108,16.070000000000025,1193818303938559700
current,109,16.220000000000024,1192992206153612800
current,110,16.370000000000022,1191740708138261800
current,111,16.52000000000002,1190066768649059800
current,112,16.67000000000002,1187973636364097800
current,113,16.820000000000018,1185464844753917000
current,114,16.970000000000017,1182544206789537800
current,115,17.120000000000015,1179215809493121500
current,116,17.270000000000014,1175484008336761000
current,117,17.420000000000012,1171353421495076400
current,118,17.57000000000001,1166828923957226500
current,119,17.72000000000001,1161915641504118800
current,120,17.870000000000008,1156618944556541200
current,121,18.020000000000007,1150944441900048400
current,122,18.170000000000005,1144897974292463400
current,123,18.320000000000004,1138485607959841800
current,124,18.470000000000002,1131713627986841300
current,125,18.62,1124588531607389000
current,126,18.77,1117117021401645600
current,127,18.919999999999998,1109305998405189600
current,128,19.069999999999997,1101162555136422000
current,129,19.219999999999995,1092693968548108300
current,130,19.369999999999994,1083907692909118700
current,131,19.519999999999992,1074811352622284400
current,132,19.66999999999999,1065412734984347800
current,133,19.81999999999999,1055719782893947600
current,134,19.969999999999988,1045740587513579000
current,135,20.119999999999987,1035483380891409000
current,136,20.269999999999985,1024956528548857000
current,137,20.419999999999984,1014168522039765400
current,138,20.569999999999983,1003127971486987000
current,139,20.71999999999998,991843598102184300
current,140,20.86999999999998,980324226694551800
current,141,21.01999999999998,968578778174118300
current,142,21.169999999999977,956616262055290900
current,143,21.319999999999975,944445768966223000
current,144,21.469999999999974,932076463169531600
current,145,21.619999999999973,919517575099801100
current,146,21.76999999999997,906778393923285800
current,147,21.91999999999997,893868260125134000
current,148,22.06999999999997,880796558129369200
current,149,22.219999999999967,867572708956814200
current,150,22.369999999999965,854206162926051500
current,151,22.519999999999964,840706392402443100
current,152,22.669999999999963,827082884600135000
current,153,22.81999999999996,813345134441906000
current,154,22.96999999999996,799502637481592700
current,155,23.11999999999996,785564882893747700
current,156,23.269999999999957,771541346535104600
current,157,23.419999999999956,757441484082340900
current,158,23.569999999999954,743274724250450800
current,159,23.719999999999953,729050462096038400
current,160,23.86999999999995,714778052409667700
current,161,24.01999999999995,700466803201306900
current,162,24.16999999999995,686125969282816400
current,163,24.319999999999947,671764745951331300
current,164,24.469999999999946,657392262777229300
current,165,24.619999999999944,643017577500293500
