frame,time_s,pressure_min_GPa,pressure_max_GPa,pressure_mean_GPa,internal_min_MJkg,internal_max_MJkg,internal_mean_MJkg,damage_mean,damage_max,kinetic_J,internal_J
19,2.7199999999999993,4.191318208692434e-9,20.787753194083773,0.28487128501368614,1.1060220950844463e-17,2.801858949539753,0.03766633303228486,0.000008939518341076279,0.0025776850609779923,3.001837742530305e+25,5.1801136766114744e+23
20,2.869999999999999,6.299821635110425e-9,22.65595856550884,0.3153255603100396,2.2805055610988716e-17,3.023099438817859,0.041332309539926455,0.00001077488119091778,0.0032583532483558965,2.9967968794117394e+25,5.684282081565939e+23
21,3.019999999999999,9.268700018081563e-9,24.57944260841148,0.34753385973378154,4.538074853600058e-17,3.246739589811901,0.045161483185202723,0.000012516135243900828,0.0036395587641672123,2.9915315769546866e+25,6.210894394822293e+23
22,3.169999999999999,1.337944882736433e-8,26.55168074818282,0.3814876777061314,8.747413510405962e-17,3.4719473425958682,0.049149536304316,0.000014098780804636153,0.0036395587641672123,2.9860477843887204e+25,6.759356823794731e+23
23,3.319999999999999,1.898621844542433e-8,28.567043839096968,0.4171783026654393,1.6383517588820723e-16,3.6979963002890743,0.053293388394048985,0.000015972282228783542,0.0036395587641672123,2.980349736891671e+25,7.329245718088793e+23
24,3.469999999999999,2.6530333305653097e-8,30.619850194495687,0.4546149940971016,2.9895802905763775e-16,3.9242424060514582,0.057590925639292856,0.00001816289051152147,0.004114419540653745,2.9744403130099367e+25,7.920270372406869e+23
25,3.6199999999999988,3.6556886047618384e-8,32.704434362355165,0.4937943107612226,5.327026201094096e-16,4.150101364760862,0.062040175367405005,0.00002004123804344601,0.00447725616533507,2.9683222628025067e+25,8.532159492260906e+23
26,3.7699999999999987,4.97337386951762e-8,34.81488502060108,0.5347183707259237,9.287420564931098e-16,4.37499413666452,0.06663854686100172,0.00002149907020918952,0.00447725616533507,2.9619991421160557e+25,9.164556785719308e+23
27,3.9199999999999986,6.687308500743671e-8,36.944712996750624,0.5773663702455276,1.5870683314720307e-15,4.5984191925235685,0.07138407844292326,0.00002292127955678555,0.00447725616533507,2.9554736859700045e+25,9.817192470462844e+23
28,4.0699999999999985,8.895588229846773e-8,39.08911062245648,0.621747591998128,2.6622252403698416e-15,4.819960431985471,0.07627760491103569,0.00002431031046064715,0.00447725616533507,2.9487447029315415e+25,1.049018135320337e+24
29,4.219999999999999,1.1715879702235584e-7,41.242534016463495,0.6678778743249669,4.389557077540583e-15,5.039215689496576,0.08131883452333266,0.000025886306164403985,0.005101498953621763,2.9418125733905077e+25,1.1183483311724663e+24
